date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_win_prob_home,bart_win_prob_away,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_moneyline,kalshi_win_prob_away,kalshi_win_prob_home,kalshi_moneyline_away,kalshi_moneyline_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,kalshi_implied_score_away,kalshi_implied_score_home
20260116,02:30 PM,Creighton,Providence,Providence,77.0,0.55,0.44999999999999996,-1.3,166,82,84,KXNCAAMBGAME-26JAN16CREIPROV,0.505,0.485,-102,106,KXNCAAMBSPREAD-26JAN16CREIPROV,-1.0,1.0,-2.3,KXNCAAMBTOTAL-26JAN16CREIPROV,158.0,8.0,79.5,78.5
20260116,04:00 PM,Baylor,Kansas,Kansas,66.0,0.86,0.14,-12.4,158,73,85,KXNCAAMBGAME-26JAN16BAYKU,0.265,0.745,277,-292,KXNCAAMBSPREAD-26JAN16BAYKU,8.5,-8.5,-3.9000000000000004,KXNCAAMBTOTAL-26JAN16BAYKU,155.5,2.5,73.5,82.0
20260116,06:30 PM,Colorado St.,Boise St.,Boise St.,56.0,0.69,0.31000000000000005,-4.7,139,67,72,KXNCAAMBGAME-26JAN16CSUBSU,0.325,0.705,208,-239,KXNCAAMBSPREAD-26JAN16CSUBSU,5.0,-5.0,0.2999999999999998,KXNCAAMBTOTAL-26JAN16CSUBSU,141.5,-2.5,68.25,73.25
20260116,04:30 PM,Marquette,DePaul,DePaul,55.0,0.7,0.30000000000000004,-5.2,141,68,73,KXNCAAMBGAME-26JAN16MARQDEP,0.38,0.645,163,-182,KXNCAAMBSPREAD-26JAN16MARQDEP,3.0,-3.0,-2.2,KXNCAAMBTOTAL-26JAN16MARQDEP,142.5,-1.5,69.75,72.75
20260116,02:30 PM,Toledo,Kent St.,Kent St.,51.0,0.72,0.28,-7.1,173,83,90,KXNCAAMBGAME-26JAN16TOLKENT,0.325,0.665,208,-199,KXNCAAMBSPREAD-26JAN16TOLKENT,4.5,-4.5,-2.5999999999999996,KXNCAAMBTOTAL-26JAN16TOLKENT,174.5,-1.5,85.0,89.5
20260116,04:30 PM,Ohio,Ball St.,Ohio,39.0,0.38,0.62,3.1,141,72,69,KXNCAAMBGAME-26JAN16OHIOBALL,0.65,0.355,-186,182,KXNCAAMBSPREAD-26JAN16OHIOBALL,-6.5,6.5,-3.4,KXNCAAMBTOTAL-26JAN16OHIOBALL,145.5,-4.5,76.0,69.5
20260116,04:30 PM,Loyola Chicago,Dayton,Dayton,27.0,0.96,0.040000000000000036,-22.8,145,61,84,KXNCAAMBGAME-26JAN16LCHIDAY,0.08,0.94,1150,-1567,KXNCAAMBSPREAD-26JAN16LCHIDAY,17.5,-17.5,-5.300000000000001,KXNCAAMBTOTAL-26JAN16LCHIDAY,142.5,2.5,62.5,80.0
