date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_win_prob_home,bart_win_prob_away,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_moneyline,kalshi_win_prob_away,kalshi_win_prob_home,kalshi_moneyline_away,kalshi_moneyline_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,kalshi_implied_score_away,kalshi_implied_score_home
20260111,08:00 AM,Illinois,Iowa,Iowa,93.0,0.52,0.48,-0.5,141,70,71,KXNCAAMBGAME-26JAN11ILLIOWA,0.99,0.01,-9900,9900,KXNCAAMBSPREAD-26JAN11ILLIOWA,-7.0,7.0,-7.5,KXNCAAMBTOTAL-26JAN11ILLIOWA,145.0,-4.0,76.0,69.0
20260111,02:00 PM,Ohio St.,Washington,Washington,77.0,0.56,0.43999999999999995,-1.6,149,74,75,KXNCAAMBGAME-26JAN11OSUWASH,0.475,0.525,111,-111,KXNCAAMBSPREAD-26JAN11OSUWASH,0.4999999999999989,-0.4999999999999989,-1.1000000000000012,KXNCAAMBTOTAL-26JAN11OSUWASH,154.5625,-5.5625,77.03125,77.53125
20260111,09:00 AM,Memphis,Florida Atlantic,Florida Atlantic,71.0,0.56,0.43999999999999995,-1.5,148,73,75,KXNCAAMBGAME-26JAN11MEMFAU,0.01,0.99,9900,-9900,KXNCAAMBSPREAD-26JAN11MEMFAU,10.0,-10.0,8.5,KXNCAAMBTOTAL-26JAN11MEMFAU,145.5,2.5,67.75,77.75
20260111,01:00 PM,Cincinnati,UCF,UCF,66.0,0.73,0.27,-6.2,146,70,76,KXNCAAMBGAME-26JAN11CINUCF,0.405,0.605,147,-153,KXNCAAMBSPREAD-26JAN11CINUCF,2.8488372093023253,-2.8488372093023253,-3.351162790697675,KXNCAAMBTOTAL-26JAN11CINUCF,150.7,-4.699999999999989,73.92558139534883,76.77441860465116
20260111,11:00 AM,Wright St.,Oakland,Oakland,60.0,0.61,0.39,-3.0,161,79,82,KXNCAAMBGAME-26JAN11WRSTOAK,0.795,0.2,-388,400,KXNCAAMBSPREAD-26JAN11WRSTOAK,1.5,-1.5,-1.5,KXNCAAMBTOTAL-26JAN11WRSTOAK,157.0,4.0,77.75,79.25
20260111,10:00 AM,Northern Kentucky,Green Bay,Green Bay,52.0,0.56,0.43999999999999995,-1.6,144,71,73,KXNCAAMBGAME-26JAN11NKUGB,0.03,0.955,3233,-2122,KXNCAAMBSPREAD-26JAN11NKUGB,-5.5,5.5,-7.1,KXNCAAMBTOTAL-26JAN11NKUGB,142.5,1.5,74.0,68.5
20260111,01:00 PM,Northwestern,Rutgers,Northwestern,51.0,0.27,0.73,6.2,145,76,69,KXNCAAMBGAME-26JAN11NWRUTG,0.635,0.375,-174,167,KXNCAAMBSPREAD-26JAN11NWRUTG,-4.5,4.5,1.7000000000000002,KXNCAAMBTOTAL-26JAN11NWRUTG,144.71428571428572,0.2857142857142776,74.60714285714286,70.10714285714286
20260111,10:00 AM,Charlotte,Rice,Rice,49.0,0.55,0.44999999999999996,-1.2,137,68,69,KXNCAAMBGAME-26JAN11CHARRICE,0.89,0.12,-809,733,KXNCAAMBSPREAD-26JAN11CHARRICE,-8.423076923076923,8.423076923076923,-9.623076923076923,KXNCAAMBTOTAL-26JAN11CHARRICE,136.07894736842104,0.9210526315789593,72.25101214574899,63.82793522267206
20260111,10:00 AM,Siena,Mount St. Mary's,Siena,45.0,0.42000000000000004,0.58,1.8,136,69,67,KXNCAAMBGAME-26JAN11SIEMSM,0.78,0.22,-355,355,KXNCAAMBSPREAD-26JAN11SIEMSM,-5.315789473684211,5.315789473684211,-3.515789473684211,KXNCAAMBTOTAL-26JAN11SIEMSM,136.5,-0.5,70.90789473684211,65.59210526315789
20260111,10:00 AM,Merrimack,Saint Peter's,Saint Peter's,44.0,0.56,0.43999999999999995,-1.3,128,63,65,KXNCAAMBGAME-26JAN11MRMKSPC,0.065,0.94,1438,-1567,KXNCAAMBSPREAD-26JAN11MRMKSPC,-2.5,2.5,-3.8,KXNCAAMBTOTAL-26JAN11MRMKSPC,130.5,-2.5,66.5,64.0
20260111,08:00 AM,Saint Joseph's,Richmond,Richmond,44.0,0.83,0.17000000000000004,-11.0,151,70,81,KXNCAAMBGAME-26JAN11JOESRICH,0.99,0.01,-9900,9900,KXNCAAMBSPREAD-26JAN11JOESRICH,-3.0,3.0,-14.0,KXNCAAMBTOTAL-26JAN11JOESRICH,165.5,-14.5,84.25,81.25
20260111,11:00 AM,North Texas,Wichita St.,Wichita St.,42.0,0.78,0.21999999999999997,-6.8,123,58,65,KXNCAAMBGAME-26JAN11UNTWICH,0.155,0.855,545,-590,KXNCAAMBSPREAD-26JAN11UNTWICH,13.127906976744187,-13.127906976744187,6.327906976744187,KXNCAAMBTOTAL-26JAN11UNTWICH,129.95945945945945,-6.9594594594594525,58.415776241357634,71.54368321810182
20260111,10:00 AM,UAB,East Carolina,UAB,40.0,0.19999999999999996,0.8,8.7,148,78,70,KXNCAAMBGAME-26JAN11UABECU,0.95,0.055,-1900,1718,KXNCAAMBSPREAD-26JAN11UABECU,-10.919354838709676,10.919354838709676,-2.219354838709677,KXNCAAMBTOTAL-26JAN11UABECU,154.05,-6.050000000000011,82.48467741935484,71.56532258064517
20260111,10:00 AM,Quinnipiac,Sacred Heart,Quinnipiac,39.0,0.24,0.76,7.9,155,81,74,KXNCAAMBGAME-26JAN11QUINSHU,0.425,0.56,135,-127,KXNCAAMBSPREAD-26JAN11QUINSHU,-2.5,2.5,5.4,KXNCAAMBTOTAL-26JAN11QUINSHU,151.5,3.5,77.0,74.5
20260111,10:00 AM,Purdue Fort Wayne,Robert Morris,Robert Morris,32.0,0.79,0.20999999999999996,-8.4,146,69,77,KXNCAAMBGAME-26JAN11PFWRMU,0.885,0.115,-770,770,KXNCAAMBSPREAD-26JAN11PFWRMU,8.5,-8.5,0.09999999999999964,KXNCAAMBTOTAL-26JAN11PFWRMU,146.80434782608697,-0.8043478260869676,69.15217391304348,77.65217391304348
20260111,11:00 AM,IU Indy,Milwaukee,Milwaukee,29.0,0.84,0.16000000000000003,-12.6,176,82,94,KXNCAAMBGAME-26JAN11IUINMILW,0.19,0.81,426,-426,,,,,,,,,
20260111,09:00 AM,Cleveland St.,Detroit Mercy,Detroit Mercy,26.0,0.8,0.19999999999999996,-9.8,164,77,87,KXNCAAMBGAME-26JAN11CLEVDET,0.01,0.99,9900,-9900,KXNCAAMBSPREAD-26JAN11CLEVDET,9.0,-9.0,-0.8000000000000007,KXNCAAMBTOTAL-26JAN11CLEVDET,162.5,1.5,76.75,85.75
20260111,10:00 AM,Marist,Rider,Marist,24.0,0.14,0.86,9.6,124,67,57,KXNCAAMBGAME-26JAN11MRSTRID,0.99,0.01,-9900,9900,KXNCAAMBSPREAD-26JAN11MRSTRID,-8.5,8.5,1.0999999999999996,KXNCAAMBTOTAL-26JAN11MRSTRID,125.5,-1.5,67.0,58.5
20260111,09:00 AM,Canisius,Iona,Iona,20.0,0.9,0.09999999999999998,-13.8,139,63,76,KXNCAAMBGAME-26JAN11CANIONA,0.01,0.99,9900,-9900,KXNCAAMBSPREAD-26JAN11CANIONA,8.5,-8.5,-5.300000000000001,KXNCAAMBTOTAL-26JAN11CANIONA,145.5,-6.5,68.5,77.0
20260111,10:00 AM,Niagara,Manhattan,Manhattan,9.0,0.85,0.15000000000000002,-10.5,142,66,76,KXNCAAMBGAME-26JAN11NIAGMAN,0.15,0.85,567,-567,KXNCAAMBSPREAD-26JAN11NIAGMAN,6.260869565217392,-6.260869565217392,-4.239130434782608,KXNCAAMBTOTAL-26JAN11NIAGMAN,144.30769230769232,-2.307692307692321,69.02341137123746,75.28428093645486
