date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_win_prob_home,bart_win_prob_away,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_moneyline,kalshi_win_prob_away,kalshi_win_prob_home,kalshi_moneyline_away,kalshi_moneyline_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,kalshi_implied_score_away,kalshi_implied_score_home
20260120,06:00 PM,Vanderbilt,Arkansas,Vanderbilt,97.0,0.43000000000000005,0.57,2.2,176,89,87,KXNCAAMBGAME-26JAN20VANARK,0.485,0.515,106,-106,KXNCAAMBSPREAD-26JAN20VANARK,-16.5,16.5,-14.3,KXNCAAMBTOTAL-26JAN20VANARK,190.5,-14.5,103.5,87.0
20260120,06:00 PM,Georgia,Missouri,Georgia,85.0,0.45999999999999996,0.54,1.2,170,86,84,KXNCAAMBGAME-26JAN20UGAMIZZ,0.475,0.515,111,-106,KXNCAAMBSPREAD-26JAN20UGAMIZZ,0.9545454545454541,-0.9545454545454541,2.1545454545454543,KXNCAAMBTOTAL-26JAN20UGAMIZZ,163.73076923076923,6.269230769230774,81.38811188811188,82.34265734265735
20260120,06:00 PM,SMU,Wake Forest,SMU,84.0,0.49,0.51,0.3,161,81,80,KXNCAAMBGAME-26JAN20SMUWAKE,0.495,0.505,102,-102,KXNCAAMBSPREAD-26JAN20SMUWAKE,-0.28260869565217606,0.28260869565217606,0.017391304347823933,KXNCAAMBTOTAL-26JAN20SMUWAKE,157.3,3.6999999999999886,78.7913043478261,78.50869565217391
20260120,06:00 PM,Texas Tech,Baylor,Texas Tech,82.0,0.4,0.6,2.8,161,82,79,KXNCAAMBGAME-26JAN20TTUBAY,0.555,0.455,-125,120,KXNCAAMBSPREAD-26JAN20TTUBAY,-1.9285714285714284,1.9285714285714284,0.8714285714285714,KXNCAAMBTOTAL-26JAN20TTUBAY,138.5,22.5,70.21428571428571,68.28571428571429
20260120,04:00 PM,Indiana,Michigan,Michigan,78.0,0.91,0.08999999999999997,-16.2,163,73,90,KXNCAAMBGAME-26JAN20INDMICH,0.07,0.935,1329,-1438,KXNCAAMBSPREAD-26JAN20INDMICH,16.125,-16.125,-0.07499999999999929,KXNCAAMBTOTAL-26JAN20INDMICH,163.0,0.0,73.4375,89.5625
20260120,07:00 PM,Purdue,UCLA,Purdue,75.0,0.28,0.72,5.9,145,75,70,KXNCAAMBGAME-26JAN20PURUCLA,0.705,0.295,-239,239,KXNCAAMBSPREAD-26JAN20PURUCLA,-5.7857142857142865,5.7857142857142865,0.11428571428571388,KXNCAAMBTOTAL-26JAN20PURUCLA,146.5,-1.5,76.14285714285714,70.35714285714286
20260120,04:00 PM,N.C. State,Clemson,Clemson,74.0,0.72,0.28,-5.8,142,68,74,KXNCAAMBGAME-26JAN20NCSTCLEM,,0.595,,-147,KXNCAAMBSPREAD-26JAN20NCSTCLEM,2.6428571428571432,-2.6428571428571432,-3.1571428571428566,KXNCAAMBTOTAL-26JAN20NCSTCLEM,141.38235294117646,0.6176470588235361,69.36974789915966,72.0126050420168
20260120,06:00 PM,Auburn,Mississippi,Auburn,73.0,0.42000000000000004,0.58,2.2,150,76,74,,,,,,,,,,,,,,
20260120,04:00 PM,Miami OH,Kent St.,Miami OH,71.0,0.43999999999999995,0.56,1.9,176,89,87,KXNCAAMBGAME-26JAN20MOHKENT,,0.55,,-122,KXNCAAMBSPREAD-26JAN20MOHKENT,1.6363636363636365,-1.6363636363636365,3.536363636363636,KXNCAAMBTOTAL-26JAN20MOHKENT,166.71428571428572,9.285714285714278,82.53896103896105,84.17532467532467
20260120,04:00 PM,UCF,Iowa St.,Iowa St.,69.0,0.84,0.16000000000000003,-11.7,159,74,85,KXNCAAMBGAME-26JAN20UCFISU,0.115,0.895,770,-852,KXNCAAMBSPREAD-26JAN20UCFISU,13.954545454545453,-13.954545454545453,2.254545454545454,KXNCAAMBTOTAL-26JAN20UCFISU,156.85,2.1500000000000057,71.44772727272726,85.40227272727273
