date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_win_prob_home,bart_win_prob_away,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_moneyline,kalshi_win_prob_away,kalshi_win_prob_home,kalshi_moneyline_away,kalshi_moneyline_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,kalshi_implied_score_away,kalshi_implied_score_home
20260118,11:00 AM,Tulsa,UAB,Tulsa,74.0,0.48,0.52,0.5,163,82,81,KXNCAAMBGAME-26JAN18TLSAUAB,0.455,0.565,120,-130,KXNCAAMBSPREAD-26JAN18TLSAUAB,1.8999999999999995,-1.8999999999999995,2.3999999999999995,KXNCAAMBTOTAL-26JAN18TLSAUAB,158.21428571428572,4.785714285714278,78.15714285714286,80.05714285714286
20260118,08:00 AM,Florida Atlantic,Temple,Florida Atlantic,65.0,0.43000000000000005,0.57,1.8,156,79,77,KXNCAAMBGAME-26JAN18FAUTEM,0.61,0.395,-156,153,KXNCAAMBSPREAD-26JAN18FAUTEM,-3.3181818181818183,3.3181818181818183,-1.5181818181818183,KXNCAAMBTOTAL-26JAN18FAUTEM,150.44117647058823,5.558823529411768,76.87967914438502,73.56149732620321
20260118,08:00 AM,Penn St.,Maryland,Maryland,61.0,0.59,0.41000000000000003,-2.3,150,74,76,KXNCAAMBGAME-26JAN18PSUMD,0.475,0.525,111,-111,KXNCAAMBSPREAD-26JAN18PSUMD,0.9761904761904758,-0.9761904761904758,-1.323809523809524,KXNCAAMBTOTAL-26JAN18PSUMD,146.64285714285714,3.357142857142861,72.83333333333333,73.80952380952381
20260118,10:00 AM,Oakland,Green Bay,Green Bay,59.0,0.54,0.45999999999999996,-1.1,161,80,81,KXNCAAMBGAME-26JAN18OAKGB,0.575,0.425,-135,135,KXNCAAMBSPREAD-26JAN18OAKGB,-2.76923076923077,2.76923076923077,-3.86923076923077,KXNCAAMBTOTAL-26JAN18OAKGB,156.5,4.5,79.63461538461539,76.86538461538461
20260118,02:30 PM,Arizona St.,Houston,Houston,56.0,0.95,0.050000000000000044,-18.6,145,63,82,KXNCAAMBGAME-26JAN18ASUHOU,0.065,0.945,1438,-1718,KXNCAAMBSPREAD-26JAN18ASUHOU,18.136363636363637,-18.136363636363637,-0.46363636363636473,KXNCAAMBTOTAL-26JAN18ASUHOU,143.36363636363637,1.636363636363626,62.61363636363637,80.75
20260118,10:00 AM,Wichita St.,South Florida,South Florida,56.0,0.77,0.22999999999999998,-8.2,156,74,82,KXNCAAMBGAME-26JAN18WICHUSF,0.225,0.785,344,-365,KXNCAAMBSPREAD-26JAN18WICHUSF,8.375,-8.375,0.1750000000000007,KXNCAAMBTOTAL-26JAN18WICHUSF,157.2058823529412,-1.2058823529411882,74.4154411764706,82.7904411764706
20260118,03:00 PM,Washington St.,San Francisco,San Francisco,49.0,0.74,0.26,-6.4,142,68,74,KXNCAAMBGAME-26JAN18WSUSF,0.295,0.705,239,-239,KXNCAAMBSPREAD-26JAN18WSUSF,5.636363636363637,-5.636363636363637,-0.7636363636363637,KXNCAAMBTOTAL-26JAN18WSUSF,145.5625,-3.5625,69.96306818181819,75.59943181818181
20260118,01:00 PM,North Texas,Tulane,Tulane,49.0,0.6,0.4,-2.3,126,62,64,KXNCAAMBGAME-26JAN18UNTTULN,0.46,0.545,117,-120,KXNCAAMBSPREAD-26JAN18UNTTULN,1.1666666666666683,-1.1666666666666683,-1.1333333333333315,KXNCAAMBTOTAL-26JAN18UNTTULN,135.75,-9.75,67.29166666666667,68.45833333333333
20260118,10:00 AM,Milwaukee,Purdue Fort Wayne,Purdue Fort Wayne,43.0,0.63,0.37,-3.6,150,73,77,KXNCAAMBGAME-26JAN18MILWPFW,0.37,0.63,170,-170,KXNCAAMBSPREAD-26JAN18MILWPFW,3.928571428571429,-3.928571428571429,0.32857142857142874,KXNCAAMBTOTAL-26JAN18MILWPFW,149.8125,0.1875,72.94196428571429,76.87053571428571
20260118,10:00 AM,Charlotte,East Carolina,Charlotte,41.0,0.36,0.64,3.5,139,71,68,KXNCAAMBGAME-26JAN18CHARECU,0.545,0.465,-120,115,KXNCAAMBSPREAD-26JAN18CHARECU,-1.3571428571428565,1.3571428571428565,2.1428571428571432,KXNCAAMBTOTAL-26JAN18CHARECU,140.96153846153845,-1.9615384615384528,71.15934065934066,69.8021978021978
20260118,09:00 AM,American,Army,American,35.0,0.32999999999999996,0.67,4.8,150,77,73,KXNCAAMBGAME-26JAN18AMERARMY,0.715,0.285,-251,251,KXNCAAMBSPREAD-26JAN18AMERARMY,-6.230769230769231,6.230769230769231,-1.430769230769231,KXNCAAMBTOTAL-26JAN18AMERARMY,147.0625,2.9375,76.64663461538461,70.41586538461539
20260118,02:00 PM,UTSA,Memphis,Memphis,23.0,0.98,0.020000000000000018,-26.5,141,57,84,KXNCAAMBGAME-26JAN18UTSAMEM,0.045,0.965,2122,-2757,KXNCAAMBSPREAD-26JAN18UTSAMEM,20.394736842105264,-20.394736842105264,-6.105263157894736,KXNCAAMBTOTAL-26JAN18UTSAMEM,147.44736842105263,-6.44736842105263,63.526315789473685,83.92105263157895
20260118,11:00 AM,Blackburn,Eastern Illinois,,-13.0,,,,,,,KXNCAAMBGAME-26JAN18BBCEIU,,0.99,,-9900,,,,,,,,,
