date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,pct_spread,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,pct_total,kalshi_implied_score_away,kalshi_implied_score_home,ev_pct_spread_home,ev_pct_spread_away,ev_pct_over,ev_pct_under
20260305,05:00 PM,Michigan,Iowa,Michigan,83.0,7.5,148,78,70,KXNCAAMBSPREAD-26MAR05MICHIOWA,-8.961538461538462,8.961538461538462,-1.4615384615384617,16.31,KXNCAAMBTOTAL-26MAR05MICHIOWA,145.85294117647058,2.14705882352942,1.47,77.40723981900452,68.44570135746606,-11.07,11.07,16.2,-16.2
20260305,06:00 PM,South Florida,Memphis,South Florida,70.0,3.3,156,80,76,KXNCAAMBSPREAD-26MAR05USFMEM,-6.357142857142857,6.357142857142857,-3.057142857142857,48.09,KXNCAAMBTOTAL-26MAR05USFMEM,160.3,-4.300000000000011,2.68,83.32857142857144,76.97142857142858,-22.91,22.91,-31.78,31.78
20260305,07:00 PM,UC San Diego,Cal St. Fullerton,UC San Diego,62.0,1.3,155,78,77,KXNCAAMBSPREAD-26MAR05UCSDCSF,-3.5,3.5,-2.2,62.86,KXNCAAMBTOTAL-26MAR05UCSDCSF,156.75,-1.75,1.12,80.125,76.625,-16.6,16.6,-13.24,13.24
20260305,05:00 PM,Western Kentucky,Missouri St.,Missouri St.,58.0,-1.0,145,72,73,KXNCAAMBSPREAD-26MAR05WKUMOSU,-1.7400000000000002,1.7400000000000002,-2.74,157.47,KXNCAAMBTOTAL-26MAR05WKUMOSU,150.9,-5.900000000000006,3.91,76.32000000000001,74.58,-20.59,20.59,-42.58,42.58
20260305,04:00 PM,Middle Tennessee,FIU,FIU,57.0,-2.0,152,75,77,,,,,,,,,,,,,,,
20260305,07:00 PM,UC Davis,Long Beach St.,UC Davis,53.0,1.6,149,75,74,KXNCAAMBSPREAD-26MAR05UCDLBSU,-1.8461538461538463,1.8461538461538463,-0.24615384615384617,13.33,KXNCAAMBTOTAL-26MAR05UCDLBSU,150.1,-1.0999999999999943,0.73,75.97307692307692,74.12692307692308,-1.87,1.87,-8.34,8.34
20260305,06:30 PM,Lindenwood,Southeast Missouri St.,Southeast Missouri St.,52.0,-1.2,150,74,76,,,,,,,,,,,,,,,
20260305,05:00 PM,UT Arlington,Tarleton St.,Tarleton St.,51.0,-2.2,134,66,68,KXNCAAMBSPREAD-26MAR05UTATARL,1.7608695652173916,-1.7608695652173916,-0.4391304347826086,24.94,KXNCAAMBTOTAL-26MAR05UTATARL,135.92857142857142,-1.9285714285714164,1.42,67.083850931677,68.84472049689441,-3.34,3.34,-14.57,14.57
20260305,04:00 PM,Indiana St.,Valparaiso,Valparaiso,51.0,-2.7,141,69,72,KXNCAAMBSPREAD-26MAR05INSTVALP,2.1666666666666665,-2.1666666666666665,-0.5333333333333337,24.62,KXNCAAMBTOTAL-26MAR05INSTVALP,135.76315789473685,5.23684210526315,3.86,66.7982456140351,68.96491228070175,-4.05,4.05,38.2,-38.2
20260305,03:00 PM,James Madison,Southern Miss,James Madison,50.0,1.8,143,72,71,,,,,,,,,,,,,,,
