date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_win_prob_home,bart_win_prob_away,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_moneyline,kalshi_win_prob_away,kalshi_win_prob_home,kalshi_moneyline_away,kalshi_moneyline_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,kalshi_implied_score_away,kalshi_implied_score_home
20260215,11:00 AM,South Florida,Florida Atlantic,South Florida,78.0,0.5,0.5,0.1,167,84,83,KXNCAAMBGAME-26FEB15USFFAU,0.655,0.345,-190,190,KXNCAAMBSPREAD-26FEB15USFFAU,-4.961538461538462,4.961538461538462,-4.861538461538462,KXNCAAMBTOTAL-26FEB15USFFAU,166.07894736842104,0.9210526315789593,85.52024291497975,80.5587044534413
20260215,03:00 PM,Belmont,Murray St.,Murray St.,76.0,0.5,0.5,-0.1,177,88,89,KXNCAAMBGAME-26FEB15BELMURR,0.495,0.51,102,-104,KXNCAAMBSPREAD-26FEB15BELMURR,0.3571428571428559,-0.3571428571428559,0.2571428571428559,KXNCAAMBTOTAL-26FEB15BELMURR,166.6875,10.3125,83.16517857142857,83.52232142857143
20260215,10:00 AM,Indiana,Illinois,Illinois,76.0,0.83,0.17000000000000004,-10.5,153,71,82,KXNCAAMBGAME-26FEB15INDILL,0.16,0.845,525,-545,KXNCAAMBSPREAD-26FEB15INDILL,11.076923076923077,-11.076923076923077,0.5769230769230766,KXNCAAMBTOTAL-26FEB15INDILL,153.375,-0.375,71.14903846153847,82.22596153846153
20260215,03:00 PM,Seton Hall,Butler,Butler,69.0,0.6,0.4,-2.5,139,68,71,KXNCAAMBGAME-26FEB15HALLBUT,0.58,0.425,-138,135,KXNCAAMBSPREAD-26FEB15HALLBUT,-2.571428571428571,2.571428571428571,-5.071428571428571,KXNCAAMBTOTAL-26FEB15HALLBUT,141.9,-2.9000000000000057,72.2357142857143,69.66428571428571
20260215,12:00 PM,Illinois St.,Illinois Chicago,Illinois Chicago,65.0,0.54,0.45999999999999996,-1.0,135,67,68,,,,,,,,,,,,,,
20260215,01:00 PM,Davidson,Dayton,Dayton,62.0,0.6,0.4,-2.5,136,67,69,KXNCAAMBGAME-26FEB15DAVDAY,0.355,0.65,182,-186,KXNCAAMBSPREAD-26FEB15DAVDAY,4.375,-4.375,1.875,KXNCAAMBTOTAL-26FEB15DAVDAY,139.83333333333334,-3.833333333333343,67.72916666666667,72.10416666666667
20260215,03:00 PM,San Francisco,San Diego,San Francisco,59.0,0.48,0.52,0.6,149,75,74,KXNCAAMBGAME-26FEB15SFUSD,0.64,0.375,-178,167,KXNCAAMBSPREAD-26FEB15SFUSD,-4.625,4.625,-4.025,KXNCAAMBTOTAL-26FEB15SFUSD,148.71428571428572,0.2857142857142776,76.66964285714286,72.04464285714286
20260215,09:00 AM,Maryland,Rutgers,Rutgers,59.0,0.56,0.43999999999999995,-1.4,145,72,73,KXNCAAMBGAME-26FEB15MDRUTG,0.44,0.585,127,-141,KXNCAAMBSPREAD-26FEB15MDRUTG,1.1666666666666679,-1.1666666666666679,-0.23333333333333206,KXNCAAMBTOTAL-26FEB15MDRUTG,144.6875,0.3125,71.76041666666667,72.92708333333333
20260215,11:00 AM,Oakland,Robert Morris,Robert Morris,56.0,0.56,0.43999999999999995,-1.8,158,78,80,KXNCAAMBGAME-26FEB15OAKRMU,0.465,0.55,115,-122,KXNCAAMBSPREAD-26FEB15OAKRMU,1.2999999999999998,-1.2999999999999998,-0.5000000000000002,KXNCAAMBTOTAL-26FEB15OAKRMU,155.9375,2.0625,77.31875,78.61875
20260215,11:00 AM,Merrimack,Quinnipiac,Quinnipiac,55.0,0.56,0.43999999999999995,-1.5,138,68,70,KXNCAAMBGAME-26FEB15MRMKQUIN,0.49,0.535,104,-115,KXNCAAMBSPREAD-26FEB15MRMKQUIN,1.318181818181818,-1.318181818181818,-0.1818181818181821,KXNCAAMBTOTAL-26FEB15MRMKQUIN,141.42857142857142,-3.4285714285714164,70.0551948051948,71.37337662337661
20260215,10:00 AM,Youngstown St.,Detroit Mercy,Detroit Mercy,54.0,0.55,0.44999999999999996,-1.3,152,75,77,KXNCAAMBGAME-26FEB15YSUDET,0.575,0.435,-135,130,KXNCAAMBSPREAD-26FEB15YSUDET,-1.9782608695652169,1.9782608695652169,-3.2782608695652167,KXNCAAMBTOTAL-26FEB15YSUDET,152.4375,-0.4375,77.20788043478261,75.22961956521739
20260215,11:00 AM,Bradley,Southern Illinois,Southern Illinois,53.0,0.69,0.31000000000000005,-4.9,143,69,74,KXNCAAMBGAME-26FEB15BRADSIU,0.45,0.575,122,-135,KXNCAAMBSPREAD-26FEB15BRADSIU,2.7608695652173916,-2.7608695652173916,-2.139130434782609,KXNCAAMBTOTAL-26FEB15BRADSIU,145.25,-2.25,71.2445652173913,74.0054347826087
20260215,09:00 AM,Utah,Cincinnati,Cincinnati,52.0,0.87,0.13,-11.8,142,65,77,KXNCAAMBGAME-26FEB15UTAHCIN,0.145,0.855,590,-590,KXNCAAMBSPREAD-26FEB15UTAHCIN,11.944444444444445,-11.944444444444445,0.14444444444444393,KXNCAAMBTOTAL-26FEB15UTAHCIN,143.5,-1.5,65.77777777777777,77.72222222222223
20260215,02:00 PM,Charleston,Campbell,Campbell,50.0,0.65,0.35,-4.4,158,77,81,KXNCAAMBGAME-26FEB15COFCCAMP,0.465,0.535,115,-115,KXNCAAMBSPREAD-26FEB15COFCCAMP,1.9090909090909096,-1.9090909090909096,-2.4909090909090907,KXNCAAMBTOTAL-26FEB15COFCCAMP,157.25,0.75,77.67045454545455,79.57954545454545
20260215,11:00 AM,North Texas,Temple,Temple,49.0,0.65,0.35,-3.4,129,63,66,KXNCAAMBGAME-26FEB15UNTTEM,0.425,0.585,135,-141,KXNCAAMBSPREAD-26FEB15UNTTEM,3.1799999999999997,-3.1799999999999997,-0.2200000000000002,KXNCAAMBTOTAL-26FEB15UNTTEM,137.5,-8.5,67.16,70.34
20260215,10:00 AM,Denver,Nebraska Omaha,Nebraska Omaha,48.0,0.6,0.4,-3.0,163,80,83,KXNCAAMBGAME-26FEB15DENNEOM,0.41,0.575,144,-135,KXNCAAMBSPREAD-26FEB15DENNEOM,2.6363636363636367,-2.6363636363636367,-0.3636363636363633,KXNCAAMBTOTAL-26FEB15DENNEOM,160.5,2.5,78.93181818181819,81.56818181818181
20260215,12:00 PM,Green Bay,Milwaukee,Green Bay,47.0,0.44999999999999996,0.55,1.3,146,74,72,KXNCAAMBGAME-26FEB15GBMILW,0.46,0.54,117,-117,KXNCAAMBSPREAD-26FEB15GBMILW,1.4565217391304337,-1.4565217391304337,2.7565217391304335,KXNCAAMBTOTAL-26FEB15GBMILW,146.03846153846155,-0.03846153846154721,72.29096989966555,73.74749163879599
20260215,11:00 AM,Tulane,UAB,UAB,46.0,0.75,0.25,-7.0,147,70,77,KXNCAAMBGAME-26FEB15TULNUAB,0.265,0.74,277,-285,KXNCAAMBSPREAD-26FEB15TULNUAB,6.760869565217392,-6.760869565217392,-0.23913043478260843,KXNCAAMBTOTAL-26FEB15TULNUAB,152.57142857142858,-5.571428571428584,72.90527950310559,79.666149068323
20260215,05:00 PM,Oregon St.,Seattle,Seattle,45.0,0.76,0.24,-6.6,132,63,69,KXNCAAMBGAME-26FEB15ORSTSEA,0.305,0.705,228,-239,KXNCAAMBSPREAD-26FEB15ORSTSEA,6.055555555555555,-6.055555555555555,-0.5444444444444443,KXNCAAMBTOTAL-26FEB15ORSTSEA,137.3125,-5.3125,65.62847222222223,71.68402777777777
20260215,04:00 PM,Towson,Monmouth,Monmouth,44.0,0.65,0.35,-3.4,126,61,65,KXNCAAMBGAME-26FEB15TOWSMONM,0.45,0.555,122,-125,KXNCAAMBSPREAD-26FEB15TOWSMONM,1.5,-1.5,-1.9,KXNCAAMBTOTAL-26FEB15TOWSMONM,135.85294117647058,-9.85294117647058,67.17647058823529,68.67647058823529
