date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_win_prob_home,bart_win_prob_away,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_moneyline,kalshi_win_prob_away,kalshi_win_prob_home,kalshi_moneyline_away,kalshi_moneyline_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,kalshi_implied_score_away,kalshi_implied_score_home
20260207,05:00 PM,Illinois,Michigan St.,Illinois,98.0,0.48,0.52,0.4,141,71,70,KXNCAAMBGAME-26FEB07ILLMSU,0.52,0.495,-108,102,KXNCAAMBSPREAD-26FEB07ILLMSU,0.49999999999999867,-0.49999999999999867,0.8999999999999987,KXNCAAMBTOTAL-26FEB07ILLMSU,144.66666666666666,-3.666666666666657,72.08333333333333,72.58333333333333
20260207,05:30 PM,Florida,Texas A&M,Florida,98.0,0.43000000000000005,0.57,2.1,162,82,80,KXNCAAMBGAME-26FEB07FLATXAM,0.695,0.305,-228,228,KXNCAAMBSPREAD-26FEB07FLATXAM,-5.899999999999999,5.899999999999999,-3.7999999999999985,KXNCAAMBTOTAL-26FEB07FLATXAM,167.7,-5.699999999999989,86.8,80.89999999999999
20260207,01:00 PM,Alabama,Auburn,Auburn,95.0,0.54,0.45999999999999996,-1.2,176,87,89,KXNCAAMBGAME-26FEB07ALAAUB,0.415,0.595,141,-147,KXNCAAMBSPREAD-26FEB07ALAAUB,3.3,-3.3,2.0999999999999996,KXNCAAMBTOTAL-26FEB07ALAAUB,175.0,1.0,85.85,89.15
20260207,03:30 PM,Duke,North Carolina,Duke,90.0,0.38,0.62,3.1,149,76,73,KXNCAAMBGAME-26FEB07DUKEUNC,0.685,0.315,-217,217,KXNCAAMBSPREAD-26FEB07DUKEUNC,-5.108695652173912,5.108695652173912,-2.008695652173912,KXNCAAMBTOTAL-26FEB07DUKEUNC,151.5,-2.5,78.30434782608695,73.19565217391305
20260207,07:30 PM,Houston,BYU,Houston,86.0,0.31000000000000005,0.69,5.1,149,77,72,KXNCAAMBGAME-26FEB07HOUBYU,0.55,0.45,-122,122,KXNCAAMBSPREAD-26FEB07HOUBYU,-1.9800000000000004,1.9800000000000004,3.119999999999999,KXNCAAMBTOTAL-26FEB07HOUBYU,149.9,-0.9000000000000057,75.94,73.96000000000001
20260207,05:30 PM,Tennessee,Kentucky,Tennessee,85.0,0.43000000000000005,0.57,1.7,144,73,71,KXNCAAMBGAME-26FEB07TENNUK,0.495,0.535,102,-115,KXNCAAMBSPREAD-26FEB07TENNUK,1.7608695652173916,-1.7608695652173916,3.4608695652173918,KXNCAAMBTOTAL-26FEB07TENNUK,161.5,-17.5,79.8695652173913,81.6304347826087
20260207,03:00 PM,Georgia,LSU,LSU,84.0,0.53,0.47,-0.8,167,83,84,KXNCAAMBGAME-26FEB07UGALSU,0.525,0.465,-111,115,KXNCAAMBSPREAD-26FEB07UGALSU,-1.152173913043478,1.152173913043478,-1.952173913043478,KXNCAAMBTOTAL-26FEB07UGALSU,162.7,4.300000000000011,81.92608695652173,80.77391304347826
20260207,09:00 AM,Wisconsin,Indiana,Indiana,77.0,0.72,0.28,-6.4,158,76,82,KXNCAAMBGAME-26FEB07WISIND,0.365,0.635,174,-174,KXNCAAMBSPREAD-26FEB07WISIND,3.954545454545454,-3.954545454545454,-2.445454545454546,KXNCAAMBTOTAL-26FEB07WISIND,155.35,2.6500000000000057,75.69772727272726,79.65227272727273
20260207,09:00 AM,Arkansas,Mississippi St.,Arkansas,75.0,0.32999999999999996,0.67,4.9,163,84,79,KXNCAAMBGAME-26FEB07ARKMSST,0.735,0.275,-277,264,KXNCAAMBSPREAD-26FEB07ARKMSST,1.5,-1.5,6.4,KXNCAAMBTOTAL-26FEB07ARKMSST,163.83333333333334,-0.8333333333333428,81.16666666666667,82.66666666666667
20260207,11:00 AM,Butler,Marquette,Marquette,74.0,0.52,0.48,-0.6,157,78,79,KXNCAAMBGAME-26FEB07BUTMARQ,0.445,0.555,125,-125,KXNCAAMBSPREAD-26FEB07BUTMARQ,2.2499999999999996,-2.2499999999999996,1.6499999999999995,KXNCAAMBTOTAL-26FEB07BUTMARQ,157.73529411764707,-0.7352941176470722,77.74264705882354,79.99264705882354
