date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,pct_spread,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,pct_total,kalshi_implied_score_away,kalshi_implied_score_home,ev_pct_spread_home,ev_pct_spread_away,ev_pct_over,ev_pct_under
20260308,01:30 PM,Michigan St.,Michigan,Michigan,82.0,-11.4,150,69,81,KXNCAAMBSPREAD-26MAR08MSUMICH,9.342105263157896,-9.342105263157896,-2.0578947368421048,22.03,KXNCAAMBTOTAL-26MAR08MSUMICH,151.0625,-1.0625,0.7,70.86019736842105,80.20230263157895,-15.54,15.54,-8.06,8.06
20260308,02:00 PM,Iowa,Nebraska,Nebraska,74.0,-5.6,133,64,69,KXNCAAMBSPREAD-26MAR08IOWANEB,5.642857142857143,-5.642857142857143,0.04285714285714359,0.76,KXNCAAMBTOTAL-26MAR08IOWANEB,134.9,-1.9000000000000057,1.41,64.62857142857143,70.27142857142857,0.33,-0.33,-14.36,14.36
20260308,09:00 AM,Illinois Chicago,Northern Iowa,Northern Iowa,61.0,-2.3,122,60,62,,,,,,,,,,,,,,,
20260308,11:00 AM,Memphis,Tulane,Memphis,60.0,1.0,145,73,72,KXNCAAMBSPREAD-26MAR08MEMTULN,-0.8999999999999996,0.8999999999999996,0.10000000000000042,10.0,KXNCAAMBTOTAL-26MAR08MEMTULN,153.03846153846155,-8.038461538461547,5.25,76.96923076923078,76.06923076923077,0.76,-0.76,-55.61,55.61
20260308,07:00 PM,Idaho,Montana St.,Montana St.,59.0,-1.4,143,71,72,KXNCAAMBSPREAD-26MAR08IDHOMTST,2.5000000000000004,-2.5000000000000004,1.1000000000000005,44.0,KXNCAAMBTOTAL-26MAR08IDHOMTST,142.5,0.5,0.35,70.0,72.5,8.34,-8.34,3.8,-3.8
20260308,05:30 PM,Hofstra,William & Mary,Hofstra,59.0,4.0,154,79,75,,,,,,,,,,,,,,,
20260308,08:00 PM,Pacific,Santa Clara,Santa Clara,58.0,-9.2,149,70,79,KXNCAAMBSPREAD-26MAR08PACSCU,7.5,-7.5,-1.6999999999999993,22.67,KXNCAAMBTOTAL-26MAR08PACSCU,148.8125,0.1875,0.13,70.65625,78.15625,-12.86,12.86,1.42,-1.42
20260308,12:00 PM,Illinois,Maryland,Illinois,56.0,16.2,148,82,66,KXNCAAMBSPREAD-26MAR08ILLMD,-15.642857142857142,15.642857142857142,0.5571428571428569,3.56,KXNCAAMBTOTAL-26MAR08ILLMD,145.3235294117647,2.676470588235304,1.84,80.48319327731092,64.84033613445378,4.23,-4.23,20.12,-20.12
20260308,12:30 PM,Green Bay,Northern Kentucky,Green Bay,56.0,0.8,147,74,73,,,,,,,,,,,,,,,
20260308,09:00 AM,High Point,Winthrop,High Point,56.0,6.1,165,86,79,,,,,,,,,,,,,,,
20260308,11:30 AM,Drexel,Monmouth,Monmouth,54.0,-0.6,131,65,66,KXNCAAMBSPREAD-26MAR08DREXMONM,4.41304347826087,-4.41304347826087,3.81304347826087,86.4,KXNCAAMBTOTAL-26MAR08DREXMONM,136.83333333333334,-5.833333333333343,4.26,66.21014492753623,70.62318840579711,28.35,-28.35,-42.15,42.15
20260308,11:00 AM,Central Arkansas,Queens,Central Arkansas,54.0,3.3,162,83,79,,,,,,,,,,,,,,,
20260308,05:30 PM,Georgia Southern,Marshall,Marshall,54.0,-1.9,172,85,87,KXNCAAMBSPREAD-26MAR08GASOMRSH,4.586956521739131,-4.586956521739131,2.686956521739131,58.58,KXNCAAMBTOTAL-26MAR08GASOMRSH,168.14285714285714,3.857142857142861,2.29,81.777950310559,86.36490683229813,20.2,-20.2,28.66,-28.66
20260308,05:30 PM,Oregon St.,San Francisco,San Francisco,54.0,-2.7,143,70,73,,,,,,,,,,,,,,,
20260308,09:00 AM,Penn St.,Rutgers,Rutgers,53.0,-4.5,152,74,78,KXNCAAMBSPREAD-26MAR08PSURUTG,4.642857142857143,-4.642857142857143,0.14285714285714324,3.08,KXNCAAMBTOTAL-26MAR08PSURUTG,149.64285714285714,2.357142857142861,1.58,72.5,77.14285714285714,1.09,-1.09,17.76,-17.76
20260308,03:00 PM,Charleston,Towson,Charleston,53.0,1.3,131,66,65,,,,,,,,,,,,,,,
20260308,09:00 AM,Campbell,UNC Wilmington,UNC Wilmington,52.0,-4.4,150,73,77,KXNCAAMBSPREAD-26MAR08CAMPUNCW,7.264705882352941,-7.264705882352941,2.8647058823529408,39.43,KXNCAAMBTOTAL-26MAR08CAMPUNCW,149.825,0.17500000000001137,0.12,71.28014705882353,78.54485294117646,21.5,-21.5,1.33,-1.33
