date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,pct_spread,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,pct_total,kalshi_implied_score_away,kalshi_implied_score_home,ev_pct_spread_home,ev_pct_spread_away,ev_pct_over,ev_pct_under
20260304,04:00 PM,Miami FL,SMU,SMU,79.0,-3.9,162,79,83,KXNCAAMBSPREAD-26MAR04MIASMU,1.5,-1.5,-2.4,160.0,KXNCAAMBTOTAL-26MAR04MIASMU,160.5,1.5,0.93,79.5,81.0,-18.08,18.08,11.36,-11.36
20260304,04:00 PM,Texas,Arkansas,Arkansas,76.0,-8.6,171,81,90,KXNCAAMBSPREAD-26MAR04TEXARK,7.342105263157895,-7.342105263157895,-1.257894736842105,17.13,KXNCAAMBTOTAL-26MAR04TEXARK,165.4375,5.5625,3.36,79.04769736842105,86.38980263157895,-9.54,9.54,40.37,-40.37
20260304,06:00 PM,Florida St.,Pittsburgh,Pittsburgh,73.0,-0.0,147,73,74,KXNCAAMBSPREAD-26MAR04FSUPITT,-1.5,1.5,-1.5,100.0,KXNCAAMBTOTAL-26MAR04FSUPITT,145.375,1.625,1.12,73.4375,71.9375,-11.36,11.36,12.3,-12.3
20260304,06:00 PM,Stanford,Notre Dame,Notre Dame,71.0,-0.8,145,72,73,KXNCAAMBSPREAD-26MAR04STANND,1.1190476190476186,-1.1190476190476186,0.3190476190476186,28.51,KXNCAAMBTOTAL-26MAR04STANND,145.3,-0.30000000000001137,0.21,72.0904761904762,73.20952380952382,2.42,-2.42,-2.28,2.28
20260304,05:30 PM,Purdue,Northwestern,Purdue,69.0,8.0,146,77,69,KXNCAAMBSPREAD-26MAR04PURNW,-10.5,10.5,-2.5,23.81,KXNCAAMBTOTAL-26MAR04PURNW,147.0625,-1.0625,0.72,78.78125,68.28125,-18.82,18.82,-8.06,8.06
20260304,07:30 PM,USC,Washington,Washington,68.0,-5.4,149,72,77,KXNCAAMBSPREAD-26MAR04USCWASH,6.357142857142858,-6.357142857142858,0.9571428571428573,15.06,KXNCAAMBTOTAL-26MAR04USCWASH,151.5,-2.5,1.65,72.57142857142857,78.92857142857143,7.26,-7.26,-18.82,18.82
20260304,05:00 PM,Villanova,DePaul,Villanova,68.0,3.0,133,68,65,KXNCAAMBSPREAD-26MAR04VILLDEP,-3.1888888888888887,3.1888888888888887,-0.18888888888888866,5.92,KXNCAAMBTOTAL-26MAR04VILLDEP,135.6764705882353,-2.676470588235304,1.97,69.4326797385621,66.2437908496732,-1.44,1.44,-20.12,20.12
20260304,03:30 PM,Minnesota,Indiana,Indiana,64.0,-6.4,138,66,72,KXNCAAMBSPREAD-26MAR04MINNIND,7.307692307692308,-7.307692307692308,0.907692307692308,12.42,KXNCAAMBTOTAL-26MAR04MINNIND,138.07142857142858,-0.07142857142858361,0.05,65.38186813186813,72.68956043956045,6.89,-6.89,-0.54,0.54
20260304,04:00 PM,Marquette,Providence,Providence,64.0,-7.5,167,80,87,KXNCAAMBSPREAD-26MAR04MARQPROV,4.42,-4.42,-3.08,69.68,KXNCAAMBTOTAL-26MAR04MARQPROV,162.3,4.699999999999989,2.9,78.94000000000001,83.36,-23.07,23.07,34.56,-34.56
20260304,06:00 PM,Baylor,Houston,Houston,62.0,-16.6,145,64,81,KXNCAAMBSPREAD-26MAR04BAYHOU,15.227272727272727,-15.227272727272727,-1.3727272727272748,9.01,KXNCAAMBTOTAL-26MAR04BAYHOU,142.625,2.375,1.67,63.69886363636364,78.92613636363636,-10.4,10.4,17.89,-17.89
20260304,03:00 PM,Creighton,Butler,Butler,62.0,-5.8,156,75,81,KXNCAAMBSPREAD-26MAR04CREIBUT,2.0294117647058827,-2.0294117647058827,-3.770588235294117,185.8,KXNCAAMBTOTAL-26MAR04CREIBUT,155.5,0.5,0.32,76.73529411764706,78.76470588235294,-28.05,28.05,3.8,-3.8
20260304,04:00 PM,Duquesne,Rhode Island,Rhode Island,62.0,-1.3,143,71,72,KXNCAAMBSPREAD-26MAR04DUQURI,0.7727272727272729,-0.7727272727272729,-0.5272727272727271,52.73,KXNCAAMBTOTAL-26MAR04DUQURI,143.3125,-0.3125,0.22,71.26988636363636,72.04261363636364,-4.01,4.01,-2.37,2.37
20260304,04:30 PM,Ohio St.,Penn St.,Ohio St.,60.0,7.7,156,82,74,KXNCAAMBSPREAD-26MAR04OSUPSU,-7.636363636363637,7.636363636363637,0.06363636363636349,0.83,KXNCAAMBTOTAL-26MAR04OSUPSU,153.57142857142858,2.4285714285714164,1.58,80.6038961038961,72.96753246753248,0.48,-0.48,18.29,-18.29
20260304,04:00 PM,California,Georgia Tech,California,59.0,4.9,151,78,73,KXNCAAMBSPREAD-26MAR04CALGT,-3.4565217391304337,3.4565217391304337,1.4434782608695667,41.76,KXNCAAMBTOTAL-26MAR04CALGT,156.26923076923077,-5.269230769230774,3.37,79.8628762541806,76.40635451505017,10.93,-10.93,-38.42,38.42
20260304,04:00 PM,UAB,Charlotte,Charlotte,58.0,-1.2,143,71,72,KXNCAAMBSPREAD-26MAR04UABCHAR,-1.318181818181818,1.318181818181818,-2.5181818181818176,191.03,KXNCAAMBTOTAL-26MAR04UABCHAR,144.71428571428572,-1.7142857142857224,1.18,73.01623376623377,71.69805194805195,-18.95,18.95,-12.97,12.97
20260304,04:00 PM,Saint Joseph's,Davidson,Davidson,57.0,-3.8,132,64,68,KXNCAAMBSPREAD-26MAR04JOESDAV,3.5869565217391304,-3.5869565217391304,-0.21304347826086945,5.94,KXNCAAMBTOTAL-26MAR04JOESDAV,138.25,-6.25,4.52,67.33152173913044,70.91847826086956,-1.62,1.62,-44.83,44.83
