date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_win_prob_home,bart_win_prob_away,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_moneyline,kalshi_win_prob_away,kalshi_win_prob_home,kalshi_moneyline_away,kalshi_moneyline_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,kalshi_implied_score_away,kalshi_implied_score_home
20250204,08:00 PM,Arizona,BYU,BYU,92.0,0.54,0.45999999999999996,-1.2,154,76,78,,,,,,,,,,,,,,
20250204,04:00 PM,Kentucky,Mississippi,Mississippi,89.0,0.61,0.39,-3.1,158,77,81,,,,,,,,,,,,,,
20250204,07:00 PM,Michigan St.,UCLA,UCLA,85.0,0.58,0.42000000000000004,-2.0,138,68,70,,,,,,,,,,,,,,
20250204,04:00 PM,Purdue,Iowa,Purdue,76.0,0.27,0.73,7.0,159,83,76,,,,,,,,,,,,,,
20250204,03:30 PM,Marquette,St. John's,St. John's,74.0,0.71,0.29000000000000004,-5.4,140,67,73,,,,,,,,,,,,,,
20250204,07:00 PM,Kansas St.,Arizona St.,Arizona St.,72.0,0.64,0.36,-3.5,140,68,72,,,,,,,,,,,,,,
20250204,06:00 PM,Baylor,Texas Tech,Texas Tech,72.0,0.79,0.20999999999999996,-8.2,144,68,76,,,,,,,,,,,,,,
20250204,04:00 PM,Vanderbilt,Florida,Florida,71.0,0.88,0.12,-13.7,156,71,85,,,,,,,,,,,,,,
20250204,08:00 PM,Boise St.,UNLV,Boise St.,69.0,0.39,0.61,2.8,141,72,69,,,,,,,,,,,,,,
20250204,06:00 PM,USC,Northwestern,Northwestern,69.0,0.57,0.43000000000000005,-1.7,138,68,70,,,,,,,,,,,,,,
20250204,06:00 PM,Oklahoma,Auburn,Auburn,67.0,0.94,0.06000000000000005,-18.7,159,70,89,,,,,,,,,,,,,,
20250204,06:00 PM,Indiana,Wisconsin,Wisconsin,67.0,0.86,0.14,-11.9,154,71,83,,,,,,,,,,,,,,
20250204,04:00 PM,Miami OH,Central Michigan,Central Michigan,59.0,0.56,0.43999999999999995,-1.6,146,72,74,,,,,,,,,,,,,,
20250204,04:00 PM,Notre Dame,Florida St.,Florida St.,58.0,0.65,0.35,-3.8,146,71,75,,,,,,,,,,,,,,
20250204,05:00 PM,Oklahoma St.,Houston,Houston,58.0,0.99,0.010000000000000009,-26.3,130,52,78,,,,,,,,,,,,,,
20250204,04:00 PM,Minnesota,Penn St.,Penn St.,58.0,0.74,0.26,-6.4,140,67,73,,,,,,,,,,,,,,
20250204,06:00 PM,St. Bonaventure,Loyola Chicago,St. Bonaventure,57.0,0.38,0.62,2.8,131,67,64,,,,,,,,,,,,,,
20250204,04:00 PM,Saint Louis,Massachusetts,Massachusetts,56.0,0.52,0.48,-0.4,147,73,74,,,,,,,,,,,,,,
20250204,05:30 PM,Georgetown,Xavier,Xavier,55.0,0.79,0.20999999999999996,-8.0,138,65,73,,,,,,,,,,,,,,
20250204,07:00 PM,San Jose St.,Fresno St.,San Jose St.,52.0,0.39,0.61,3.0,149,76,73,,,,,,,,,,,,,,
20250204,06:00 PM,Georgia Tech,Clemson,Clemson,51.0,0.9,0.09999999999999998,-13.4,139,63,76,,,,,,,,,,,,,,
20250204,04:00 PM,Drake,Murray St.,Drake,49.0,0.25,0.75,5.9,120,63,57,,,,,,,,,,,,,,
20250204,05:30 PM,Utah St.,Wyoming,Utah St.,49.0,0.26,0.74,6.2,140,73,67,,,,,,,,,,,,,,
20250204,04:00 PM,Wichita St.,Charlotte,Wichita St.,48.0,0.43999999999999995,0.56,1.6,143,72,71,,,,,,,,,,,,,,
20250204,04:00 PM,Davidson,Dayton,Dayton,46.0,0.75,0.25,-7.0,147,70,77,,,,,,,,,,,,,,
20250204,03:30 PM,Kent St.,Eastern Michigan,Kent St.,45.0,0.29000000000000004,0.71,5.1,131,68,63,,,,,,,,,,,,,,
20250204,04:00 PM,La Salle,VCU,VCU,40.0,0.94,0.06000000000000005,-19.4,142,61,81,,,,,,,,,,,,,,
20250204,04:00 PM,Western Michigan,Ohio,Ohio,35.0,0.85,0.15000000000000002,-12.2,150,69,81,,,,,,,,,,,,,,
20250204,04:00 PM,Ball St.,Akron,Akron,34.0,0.92,0.07999999999999996,-18.9,159,70,89,,,,,,,,,,,,,,
20250204,06:00 PM,Nevada,Air Force,Nevada,33.0,0.20999999999999996,0.79,7.2,127,67,60,,,,,,,,,,,,,,
20250204,05:30 PM,Eastern Illinois,SIU Edwardsville,SIU Edwardsville,27.0,0.82,0.18000000000000005,-8.3,128,60,68,,,,,,,,,,,,,,
20250204,03:30 PM,Texas Southern,Arkansas Pine Bluff,Texas Southern,24.0,0.26,0.74,7.4,161,84,77,,,,,,,,,,,,,,
20250204,04:00 PM,Buffalo,Toledo,Toledo,23.0,0.9,0.09999999999999998,-16.3,164,74,90,,,,,,,,,,,,,,
20250204,04:00 PM,Northern Illinois,Bowling Green,Bowling Green,22.0,0.79,0.20999999999999996,-8.6,148,70,78,,,,,,,,,,,,,,
