date,time,away_team,home_team,bart_predicted_winner,bart_ttq,bart_win_prob_home,bart_win_prob_away,bart_spread_home,bart_total,bart_predicted_score_away,bart_predicted_score_home,kalshi_event_ticker_moneyline,kalshi_win_prob_away,kalshi_win_prob_home,kalshi_moneyline_away,kalshi_moneyline_home,kalshi_event_ticker_spread,kalshi_median_home_margin,kalshi_implied_spread_home,diff_spread_bart_minus_kalshi,kalshi_event_ticker_total,kalshi_median_total,diff_total_bart_minus_kalshi,kalshi_implied_score_away,kalshi_implied_score_home
20260227,05:00 PM,Michigan,Illinois,Illinois,111.0,0.52,0.48,-0.6,159,79,80,,,,,,,,,,,,,,
20260227,04:00 PM,Dayton,George Washington,George Washington,60.0,0.71,0.29000000000000004,-6.0,154,74,80,,,,,,,,,,,,,,
20260227,03:00 PM,Yale,Cornell,Yale,60.0,0.38,0.62,3.9,182,93,89,,,,,,,,,,,,,,
20260227,04:00 PM,Siena,Fairfield,Siena,52.0,0.5,0.5,0.0,145,73,72,,,,,,,,,,,,,,
20260227,,Harvard,Princeton,Princeton,49.0,0.54,0.45999999999999996,-0.9,129,64,65,,,,,,,,,,,,,,
20260227,05:00 PM,Appalachian St.,Texas St.,Appalachian St.,49.0,0.45999999999999996,0.54,0.8,125,63,62,,,,,,,,,,,,,,
20260227,09:00 PM,Dartmouth,Penn,Penn,45.0,0.73,0.27,-6.7,155,74,81,,,,,,,,,,,,,,
20260227,04:00 PM,Old Dominion,Georgia St.,Georgia St.,42.0,0.62,0.38,-3.1,143,70,73,,,,,,,,,,,,,,
20260227,,Coastal Carolina,James Madison,James Madison,41.0,0.64,0.36,-3.6,141,69,72,,,,,,,,,,,,,,
20260227,05:30 PM,Southern Miss,South Alabama,South Alabama,39.0,0.68,0.31999999999999995,-4.5,134,65,69,,,,,,,,,,,,,,
20260227,05:30 PM,Georgia Southern,Marshall,Marshall,36.0,0.82,0.18000000000000005,-11.1,163,76,87,,,,,,,,,,,,,,
20260227,04:00 PM,Mount St. Mary's,Sacred Heart,Sacred Heart,34.0,0.67,0.32999999999999996,-4.5,149,72,77,,,,,,,,,,,,,,
20260227,04:00 PM,Brown,Columbia,Columbia,31.0,0.82,0.18000000000000005,-9.1,135,63,72,,,,,,,,,,,,,,
20260227,,Louisiana,Arkansas St.,Arkansas St.,29.0,0.85,0.15000000000000002,-11.0,141,65,76,,,,,,,,,,,,,,
20260227,03:30 PM,Quinnipiac,Niagara,Quinnipiac,28.0,0.25,0.75,6.4,136,71,65,,,,,,,,,,,,,,
20260227,04:00 PM,Merrimack,Canisius,Merrimack,23.0,0.20999999999999996,0.79,7.2,124,66,58,,,,,,,,,,,,,,
20260227,04:00 PM,Louisiana Monroe,Troy,Troy,20.0,0.95,0.050000000000000044,-22.8,155,66,89,,,,,,,,,,,,,,
20260227,04:00 PM,Manhattan,Saint Peter's,Saint Peter's,19.0,0.86,0.14,-11.7,146,67,79,,,,,,,,,,,,,,
20260227,04:00 PM,Rider,Iona,Iona,15.0,0.91,0.08999999999999997,-14.5,142,64,78,,,,,,,,,,,,,,
