date,event_ticker,away_team,home_team,away_win_prob,home_win_prob,favorite,favorite_win_prob,underdog_win_prob,expected_expiration_utc
20260204,KXNHLGAME-26FEB04VANVGK,Vancouver,Vegas,0.28,0.72,Vegas,0.72,0.28,2026-02-05T06:00:00Z
20260204,KXNHLGAME-26FEB04SEALA,Seattle,Los Angeles,0.355,0.645,Los Angeles,0.645,0.355,2026-02-05T06:00:00Z
20260204,KXNHLGAME-26FEB04EDMCGY,Edmonton,Calgary,0.535,0.455,Edmonton,0.535,0.455,2026-02-05T06:00:00Z
20260204,KXNHLGAME-26FEB04STLDAL,St. Louis,Dallas,0.345,0.655,Dallas,0.655,0.345,2026-02-05T05:30:00Z
20260204,KXNHLGAME-26FEB04SJCOL,San Jose,Colorado,0.285,0.725,Colorado,0.725,0.285,2026-02-05T05:00:00Z
20260204,KXNHLGAME-26FEB04DETUTA,Detroit,Utah,0.425,0.57,Utah,0.57,0.425,2026-02-05T05:00:00Z
20260204,KXNHLGAME-26FEB04MINNSH,Minnesota,Nashville,0.54,0.46,Minnesota,0.54,0.46,2026-02-05T04:00:00Z
20260204,KXNHLGAME-26FEB04MTLWPG,Montreal,Winnipeg,0.495,0.505,Winnipeg,0.505,0.495,2026-02-05T03:00:00Z
20260204,KXNHLGAME-26FEB04CHICBJ,Chicago,Columbus,0.425,0.575,Columbus,0.575,0.425,2026-02-05T03:00:00Z
20260204,KXNHLGAME-26FEB04BOSFLA,Boston,Florida,0.455,0.555,Florida,0.555,0.455,2026-02-05T03:00:00Z
