date,event_ticker,away_team,home_team,away_win_prob,home_win_prob,favorite,favorite_win_prob,underdog_win_prob,expected_expiration_utc
20260205,KXNHLGAME-26FEB05LAVGK,Los Angeles,Vegas,0.545,0.445,Los Angeles,0.545,0.445,2026-02-06T06:00:00Z
20260205,KXNHLGAME-26FEB05FLATB,Florida,Tampa Bay,0.355,0.635,Tampa Bay,0.635,0.355,2026-02-06T03:30:00Z
20260205,KXNHLGAME-26FEB05PITBUF,Pittsburgh,Buffalo,0.445,0.555,Buffalo,0.555,0.445,2026-02-06T03:00:00Z
20260205,KXNHLGAME-26FEB05OTTPHI,Ottawa,Philadelphia,0.545,0.455,Ottawa,0.545,0.455,2026-02-06T03:00:00Z
20260205,KXNHLGAME-26FEB05NYINJ,NY Islanders,New Jersey,0.505,0.505,New Jersey,0.505,0.505,2026-02-06T03:00:00Z
20260205,KXNHLGAME-26FEB05NSHWSH,Nashville,Washington,0.375,0.605,Washington,0.605,0.375,2026-02-06T03:00:00Z
20260205,KXNHLGAME-26FEB05CARNYR,Carolina,NY Rangers,0.675,0.325,Carolina,0.675,0.325,2026-02-06T03:00:00Z
