date,event_ticker,away_team,home_team,away_win_prob,home_win_prob,favorite,favorite_win_prob,underdog_win_prob,expected_expiration_utc
20260203,KXNHLGAME-26FEB03SEAANA,Seattle,Anaheim,0.415,0.585,Anaheim,0.585,0.415,2026-02-04T06:00:00Z
20260203,KXNHLGAME-26FEB03TOREDM,Toronto,Edmonton,0.345,0.65,Edmonton,0.65,0.345,2026-02-04T04:30:00Z
20260203,KXNHLGAME-26FEB03PITNYI,Pittsburgh,NY Islanders,0.465,0.525,NY Islanders,0.525,0.465,2026-02-04T03:30:00Z
20260203,KXNHLGAME-26FEB03BUFTB,Buffalo,Tampa Bay,0.325,0.67,Tampa Bay,0.67,0.325,2026-02-04T03:30:00Z
20260203,KXNHLGAME-26FEB03WSHPHI,Washington,Philadelphia,0.435,0.56,Philadelphia,0.56,0.435,2026-02-04T03:00:00Z
20260203,KXNHLGAME-26FEB03OTTCAR,Ottawa,Carolina,0.335,0.655,Carolina,0.655,0.335,2026-02-04T03:00:00Z
20260203,KXNHLGAME-26FEB03CBJNJ,Columbus,New Jersey,0.475,0.52,New Jersey,0.52,0.475,2026-02-04T03:00:00Z
