date,event_ticker,away_team,home_team,away_win_prob,home_win_prob,favorite,favorite_win_prob,underdog_win_prob,expected_expiration_utc
20260305,KXNHLGAME-26MAR05NYILA,NY Islanders,Los Angeles,0.445,0.565,Los Angeles,0.565,0.445,2026-03-06T05:30:00Z
20260305,KXNHLGAME-26MAR05OTTCGY,Ottawa,Calgary,0.6,0.405,Ottawa,0.6,0.405,2026-03-06T05:00:00Z
20260305,KXNHLGAME-26MAR05TBWPG,Tampa Bay,Winnipeg,0.37,0.63,Winnipeg,0.63,0.37,2026-03-06T04:00:00Z
20260305,KXNHLGAME-26MAR05BOSNSH,Boston,Nashville,0.495,0.51,Nashville,0.51,0.495,2026-03-06T04:00:00Z
20260305,KXNHLGAME-26MAR05UTAPHI,Utah,Philadelphia,0.54,0.455,Utah,0.54,0.455,2026-03-06T03:00:00Z
20260305,KXNHLGAME-26MAR05TORNYR,Toronto,NY Rangers,0.485,0.515,NY Rangers,0.515,0.485,2026-03-06T03:00:00Z
20260305,KXNHLGAME-26MAR05FLACBJ,Florida,Columbus,0.48,0.52,Columbus,0.52,0.48,2026-03-06T03:00:00Z
20260305,KXNHLGAME-26MAR05BUFPIT,Buffalo,Pittsburgh,0.515,0.485,Buffalo,0.515,0.485,2026-03-06T03:00:00Z
