date,event_ticker,away_team,home_team,away_win_prob,home_win_prob,favorite,favorite_win_prob,underdog_win_prob,expected_expiration_utc
20260308,KXNHLGAME-26MAR08EDMVGK,Edmonton,Vegas,0.505,0.495,Edmonton,0.505,0.495,2026-03-09T04:30:00Z
20260308,KXNHLGAME-26MAR08STLANA,St. Louis,Anaheim,0.395,0.605,Anaheim,0.605,0.395,2026-03-09T04:00:00Z
20260308,KXNHLGAME-26MAR08DETNJ,Detroit,New Jersey,0.515,0.495,Detroit,0.515,0.495,2026-03-09T02:00:00Z
20260308,KXNHLGAME-26MAR08TBBUF,Tampa Bay,Buffalo,0.495,0.515,Buffalo,0.515,0.495,2026-03-09T01:00:00Z
20260308,KXNHLGAME-26MAR08CHIDAL,Chicago,Dallas,0.27,0.725,Dallas,0.725,0.27,2026-03-09T01:00:00Z
20260308,KXNHLGAME-26MAR08BOSPIT,Boston,Pittsburgh,0.475,0.525,Pittsburgh,0.525,0.475,2026-03-08T23:30:00Z
20260308,KXNHLGAME-26MAR08MINCOL,Minnesota,Colorado,0.375,0.63,Colorado,0.63,0.375,2026-03-08T21:00:00Z
